Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Center Zone;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Guatemala;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Costa Rica;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Honduras;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Republica Dominicana;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Peru;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Ecuador;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Colombia;NARTD;Transactions Share %;Total Market;MAT Q4.24;100;
Center Zone;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;25.3870274974705;
Guatemala;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;14.1;
Costa Rica;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;38.9;
Honduras;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;9.5;
Republica Dominicana;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;36.14;
Peru;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;11.7522192380871;
Ecuador;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;26.8;
Colombia;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.25;45.514748953953124;
Center Zone;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;22.9981573962389;
Guatemala;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;11.5;
Costa Rica;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;36.2;
Honduras;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;9;
Republica Dominicana;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;25.59;
Peru;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;10.5071290337302;
Ecuador;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;19.7;
Colombia;NARTD;Transactions Share %;Modern Trade (Including Wholesalers);MAT Q4.24;45.928136307607545;
Center Zone;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;4.07773462361486;
Guatemala;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;0.2;
Costa Rica;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;1.6;
Honduras;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;0.6;
Republica Dominicana;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;11.88;
Peru;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;4.54825326130624;
Ecuador;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;2.6;
Colombia;NARTD;Transactions Share %;Hypermarket;MAT Q4.25;7.1;
Center Zone;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;3.97514074552541;
Guatemala;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;0.2;
Costa Rica;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;1.5;
Honduras;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;0.2;
Republica Dominicana;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;7.45;
Peru;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;3.98408899770264;
Ecuador;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;2.4;
Colombia;NARTD;Transactions Share %;Hypermarket;MAT Q4.24;7.9;
Center Zone;NARTD;Transactions Share %;Supermarket;MAT Q4.25;6.66122535422326;
Guatemala;NARTD;Transactions Share %;Supermarket;MAT Q4.25;2.3;
Costa Rica;NARTD;Transactions Share %;Supermarket;MAT Q4.25;12.8;
Honduras;NARTD;Transactions Share %;Supermarket;MAT Q4.25;3;
Republica Dominicana;NARTD;Transactions Share %;Supermarket;MAT Q4.25;23.35;
Peru;NARTD;Transactions Share %;Supermarket;MAT Q4.25;1.43887893044246;
Ecuador;NARTD;Transactions Share %;Supermarket;MAT Q4.25;13.6;
Colombia;NARTD;Transactions Share %;Supermarket;MAT Q4.25;6.2;
Center Zone;NARTD;Transactions Share %;Supermarket;MAT Q4.24;6.38753206064564;
Guatemala;NARTD;Transactions Share %;Supermarket;MAT Q4.24;1.9;
Costa Rica;NARTD;Transactions Share %;Supermarket;MAT Q4.24;11.4;
Honduras;NARTD;Transactions Share %;Supermarket;MAT Q4.24;2.9;
Republica Dominicana;NARTD;Transactions Share %;Supermarket;MAT Q4.24;17.77;
Peru;NARTD;Transactions Share %;Supermarket;MAT Q4.24;1.99913090531783;
Ecuador;NARTD;Transactions Share %;Supermarket;MAT Q4.24;11.1;
Colombia;NARTD;Transactions Share %;Supermarket;MAT Q4.24;6.8;
Center Zone;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;1.07631073688003;
Guatemala;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;2.2;
Costa Rica;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.4;
Honduras;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;1.3;
Republica Dominicana;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.27;
Peru;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;1.41765061555435;
Ecuador;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.9;
Colombia;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.25;0.7;
Center Zone;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.954395446757325;
Guatemala;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;1.7;
Costa Rica;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.5;
Honduras;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;1.4;
Republica Dominicana;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.12;
Peru;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;1.56698724040623;
Ecuador;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.8;
Colombia;NARTD;Transactions Share %;Neighborhood + Convenience;MAT Q4.24;0.6;
Center Zone;NARTD;Transactions Share %;Discounters;MAT Q4.25;12.4426570794681;
Guatemala;NARTD;Transactions Share %;Discounters;MAT Q4.25;9.2;
Costa Rica;NARTD;Transactions Share %;Discounters;MAT Q4.25;24.1;
Honduras;NARTD;Transactions Share %;Discounters;MAT Q4.25;4.5;
Republica Dominicana;NARTD;Transactions Share %;Discounters;MAT Q4.25;0;
Peru;NARTD;Transactions Share %;Discounters;MAT Q4.25;4.28682008112225;
Ecuador;NARTD;Transactions Share %;Discounters;MAT Q4.25;5.6;
Colombia;NARTD;Transactions Share %;Discounters;MAT Q4.25;30.2;
Center Zone;NARTD;Transactions Share %;Discounters;MAT Q4.24;10.9459932296449;
Guatemala;NARTD;Transactions Share %;Discounters;MAT Q4.24;7.5;
Costa Rica;NARTD;Transactions Share %;Discounters;MAT Q4.24;22.7;
