Pais;Categoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Costa Rica;FMCG;Absolute Transactions;Wholesalers;MAT Q4.25;4283561;
Honduras;FMCG;Absolute Transactions;Wholesalers;MAT Q4.25;1333669;
Republica Dominicana;FMCG;Absolute Transactions;Wholesalers;MAT Q4.25;4493756;
Peru;FMCG;Absolute Transactions;Wholesalers;MAT Q4.25;32604190;
Ecuador;FMCG;Absolute Transactions;Wholesalers;MAT Q4.25;57754410;
Colombia;FMCG;Absolute Transactions;Wholesalers;MAT Q4.25;48868840;
Guatemala;FMCG;Absolute Transactions;Wholesalers;MAT Q4.24;1662216;
Costa Rica;FMCG;Absolute Transactions;Wholesalers;MAT Q4.24;2787163;
Honduras;FMCG;Absolute Transactions;Wholesalers;MAT Q4.24;1074457;
Republica Dominicana;FMCG;Absolute Transactions;Wholesalers;MAT Q4.24;4393871;
Peru;FMCG;Absolute Transactions;Wholesalers;MAT Q4.24;32038970;
Ecuador;FMCG;Absolute Transactions;Wholesalers;MAT Q4.24;58065740;
Colombia;FMCG;Absolute Transactions;Wholesalers;MAT Q4.24;38408140;
Guatemala;FMCG;Absolute Transactions;Down The Trade;MAT Q4.25;442991400;
Costa Rica;FMCG;Absolute Transactions;Down The Trade;MAT Q4.25;103473500;
Honduras;FMCG;Absolute Transactions;Down The Trade;MAT Q4.25;195755000;
Republica Dominicana;FMCG;Absolute Transactions;Down The Trade;MAT Q4.25;194172700;
Peru;FMCG;Absolute Transactions;Down The Trade;MAT Q4.25;1541767000;
Ecuador;FMCG;Absolute Transactions;Down The Trade;MAT Q4.25;408264800;
Colombia;FMCG;Absolute Transactions;Down The Trade;MAT Q4.25;1268270000;
Guatemala;FMCG;Absolute Transactions;Down The Trade;MAT Q4.24;442419600;
Costa Rica;FMCG;Absolute Transactions;Down The Trade;MAT Q4.24;115947500;
Honduras;FMCG;Absolute Transactions;Down The Trade;MAT Q4.24;173874300;
Republica Dominicana;FMCG;Absolute Transactions;Down The Trade;MAT Q4.24;270272500;
Peru;FMCG;Absolute Transactions;Down The Trade;MAT Q4.24;1703777000;
Ecuador;FMCG;Absolute Transactions;Down The Trade;MAT Q4.24;432199800;
Colombia;FMCG;Absolute Transactions;Down The Trade;MAT Q4.24;1327226000;
Guatemala;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.25;21416600;
Costa Rica;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.25;91426510;
Honduras;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.25;42202390;
Republica Dominicana;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.25;42606190;
Peru;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.25;37680620;
Ecuador;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.25;28727920;
Colombia;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.25;380272600;
Guatemala;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.24;15944280;
Costa Rica;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.24;93120190;
Honduras;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.24;38538110;
Republica Dominicana;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.24;46400080;
Peru;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.24;37519250;
Ecuador;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.24;23364040;
Colombia;FMCG;Absolute Transactions;Minimarket + Ind. Supermarkets;MAT Q4.24;403679400;
Guatemala;FMCG;Absolute Transactions;Traditional Store;MAT Q4.25;322251100;
Costa Rica;FMCG;Absolute Transactions;Traditional Store;MAT Q4.25;7963670;
Honduras;FMCG;Absolute Transactions;Traditional Store;MAT Q4.25;142221100;
Republica Dominicana;FMCG;Absolute Transactions;Traditional Store;MAT Q4.25;223872420;
Peru;FMCG;Absolute Transactions;Traditional Store;MAT Q4.25;989342300;
Ecuador;FMCG;Absolute Transactions;Traditional Store;MAT Q4.25;310055300;
Colombia;FMCG;Absolute Transactions;Traditional Store;MAT Q4.25;624443800;
Guatemala;FMCG;Absolute Transactions;Traditional Store;MAT Q4.24;339812200;
Costa Rica;FMCG;Absolute Transactions;Traditional Store;MAT Q4.24;16457340;
