Pais;Categoria;Subcategoria;KPI;Canal;Periodo;Valor;Variacion_vs_PY
Center Zone;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;;
Center Zone;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;;
Center Zone;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;;
Guatemala;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Guatemala;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;6.5;
Guatemala;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;4;
Guatemala;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;8.1;
Guatemala;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;2.6;
Guatemala;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Guatemala;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;6.9;
Guatemala;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;4.3;
Guatemala;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;8.3;
Guatemala;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;4.8;
Guatemala;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Guatemala;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;6.9;
Guatemala;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;4.3;
Guatemala;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;8.3;
Guatemala;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;4.8;
Guatemala;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Guatemala;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;5.1;
Guatemala;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;1.4;
Guatemala;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.4;
Guatemala;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.6;
Costa Rica;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Costa Rica;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;5.9;
Costa Rica;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;5.4;
Costa Rica;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;7.6;
Costa Rica;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.4;
Costa Rica;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Costa Rica;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;5.3;
Costa Rica;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;4.9;
Costa Rica;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;6.2;
Costa Rica;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.5;
Costa Rica;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Costa Rica;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;5.3;
Costa Rica;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;4.9;
Costa Rica;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;6.2;
Costa Rica;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;0.5;
Costa Rica;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Costa Rica;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;3.4;
Costa Rica;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;2.9;
Costa Rica;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;1.1;
Costa Rica;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;0;
Honduras;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Honduras;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;13.7;
Honduras;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;8.2;
Honduras;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;11.3;
Honduras;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;3.6;
Honduras;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Honduras;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;14.6;
Honduras;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;8.5;
Honduras;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;8.9;
Honduras;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;3.9;
Honduras;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Honduras;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;14.6;
Honduras;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;8.5;
Honduras;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;8.9;
Honduras;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;3.9;
Honduras;TCCC;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Honduras;TCCC;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;9.1;
Honduras;TCCC;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;2.1;
Honduras;TCCC;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.1;
Honduras;TCCC;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;0.1;
Republica Dominicana;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.24;100;
Republica Dominicana;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.24;4.96;
Republica Dominicana;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.24;5.42;
Republica Dominicana;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.24;8.77;
Republica Dominicana;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.24;2.22;
Republica Dominicana;NARTD;FMCG;Incidence vs FMCG;Modern Trade;MAT Q4.25;100;
Republica Dominicana;NARTD;Colas;Incidence vs FMCG;Modern Trade;MAT Q4.25;5.61;
Republica Dominicana;NARTD;Sabores;Incidence vs FMCG;Modern Trade;MAT Q4.25;5.76;
Republica Dominicana;NARTD;RTDJ;Incidence vs FMCG;Modern Trade;MAT Q4.25;9.97;
Republica Dominicana;NARTD;Water;Incidence vs FMCG;Modern Trade;MAT Q4.25;2.06;
